width,time
2,0
10,0
20,0
30,0
40,0.001
50,0.001
60,0.001
70,0.001
80,0.001
90,0.002
100,0.004
200,0.012
300,0.039
400,0.061
500,0.128
600,0.139
700,0.265
800,0.24
900,0.397
1000,0.42
2000,2.017
3000,5.339
4000,10.307
5000,16.067
6000,22.338
7000,32.182
