width,time
2,0.004
10,0.005
20,0.008
30,0.01
40,0.012
50,0.015
60,0.018
70,0.021
80,0.023
90,0.026
100,0.018
200,0.037
300,0.054
400,0.074
500,0.092
600,0.109
700,0.095
800,0.093
900,0.183
1000,0.12
2000,0.353
3000,0.408
4000,0.464
5000,0.578
6000,0.693
7000,0.81
